person_id,DEGREE_CENTRALITY,EIGENVECTOR,CLOSENESS_CENTRALITY,BETWEENNESS_CENTRALITY,CLUSTCOEF
200049889,0.047144499808355694,0.008231392766146331,0.40806777468333616,0.0001587551008635966,0.6501399440223911
132320,0.0007665772326561902,1.465635812751974e-05,0.28956042093968243,0.0,1.0
107748,0.0701418167880414,0.00017944050041956763,0.3305615837568453,0.0001018423430781032,0.8858463940431154
1253,0.033346109620544274,0.004232932395919007,0.3915087018261744,0.0004090879554961545,0.6541031809676557
200287461,0.009965504024530471,7.486449566608711e-05,0.31613462680430315,0.0,1.0
115940,0.06477577615944807,0.0001779606177410067,0.32985816146200164,0.0,1.0
66792,0.009198926791874281,0.000664843491842723,0.3737014111452346,0.0002489350762996985,0.3007246376811594
140522,0.01801456496742047,2.9313782036742088e-05,0.2846333921098849,0.0,1.0
42220,0.011498658489842852,0.0013875873060349194,0.3796816100825685,0.0,1.0
42221,0.016864699118436185,0.0014207247836994438,0.3755726344929171,0.0005735738680080878,0.6923890063424947
200049902,0.0019164430816404755,9.071848923513368e-05,0.3006815181877214,7.582266512667683e-05,0.4
124140,0.0003832886163280951,4.069169970228677e-43,0.0003832886163280951,0.0,0.0
42225,0.009582215408202376,0.0003081351500140445,0.3541767220328484,7.639057785937987e-05,0.6066666666666667
42229,0.0045994633959371405,0.0006021765725010697,0.34078413896316134,0.00012921229918488343,0.7272727272727273
42231,0.01648141050210809,0.0009035092907752565,0.38080088112441035,0.0,1.0
42241,0.027980068991950942,0.006432216339807462,0.4041665531280462,3.902273255040039e-06,0.9745053272450532
42245,0.014181678804139519,0.0024304463281360983,0.38496195035524,6.247575188322391e-06,0.9459459459459459
124166,0.0022997316979685703,5.470173310477866e-05,0.30711533220785225,0.0,1.0
200353034,0.013415101571483328,0.0006826195366922362,0.35504201865103824,6.93216967461141e-05,0.7697478991596639
200123660,0.012648524338827138,0.00211339346631711,0.35065151261433414,0.0,1.0
9485,0.05404369490226141,0.004961867044658524,0.4177452713161426,0.001709746107573052,0.30364741641337384
42255,0.036795707167497124,0.003610615834158654,0.40656936180200204,0.002205853690500347,0.2986842105263158
58640,0.014564967420467614,0.0003143973666378461,0.33122082338257114,0.00031430368019959905,0.39544807965860596
83217,0.0045994633959371405,0.000351180648485517,0.3539610564995661,3.90841286705344e-06,0.8484848484848485
9490,0.09965504024530472,0.02418962515471933,0.42531007502206875,0.0006807537581919143,0.6551232551232551
25871,0.0030663089306247606,0.000423657605308394,0.323209644168147,6.035627816751557e-06,0.8214285714285714
200008979,0.0022997316979685703,2.2038965654731194e-05,0.2878398341353862,0.0,1.0
75025,0.003832886163280951,4.746756253417744e-29,0.0038328861632809506,0.0,1.0
17680,0.0003832886163280951,2.856507878615105e-07,0.22504550717631144,0.0,0.0
200082711,0.05212725182062093,0.009568479862849227,0.423296956152494,0.0,1.0
200123671,0.11077041011881948,0.0537551833701249,0.42191438580033563,9.456605547008868e-05,0.8926855055747789
99612,0.003832886163280951,4.9317561262022985e-05,0.30358665362914866,0.0,1.0
200008989,0.0003832886163280951,4.069169970228677e-43,0.0003832886163280951,0.0,0.0
1311,0.061709467228823305,0.004115311830608803,0.41506072476716344,0.0007937147979091663,0.9637422360248448
42272,0.014181678804139519,0.0030464706141506035,0.38694794144544015,0.0001784216128613342,0.524024024024024
34080,0.039095438865465695,0.002955943006271306,0.41263002309594493,0.0017598417926226863,0.4979615608619686
17698,0.016098121885779994,0.000794102363227328,0.38061387790892937,0.00029832937301462945,0.39256678281068524
58658,0.060559601379839026,0.00411384011481148,0.4148385691606868,0.0,1.0
140581,0.08010732081257187,0.01054388639005727,0.4339623329872433,0.004441080409735096,0.499953993375046
58661,0.07627443464929091,0.004616432947081419,0.42531007502206875,0.003718458774010471,0.6498147302167403
42279,0.007665772326561902,0.0005318420788436669,0.35998919029968257,0.0,1.0
132392,0.10348792640858567,0.05279653545985953,0.4144688378156238,0.0,1.0
25897,0.007282483710233807,0.00014421402653511537,0.3233894548185883,0.0,1.0
42282,0.0003832886163280951,2.1066869673772488e-07,0.23752887732614666,0.0,0.0
200221995,0.003832886163280951,4.746756253417744e-29,0.0038328861632809506,0.0,1.0
1323,0.060559601379839026,0.00411384011481148,0.4148385691606868,0.0,1.0
124204,0.10578765810655424,0.053012331305731505,0.4169960868266947,6.1069542095851e-05,0.9606851119894598
1326,0.003449597546952856,0.0005557780789043563,0.3424403799919955,1.0339513742576727e-06,0.7777777777777778
132399,0.03526255270218475,0.0011832308995059074,0.40628519660067264,0.002509661344204428,0.45484949832775917
66863,0.003449597546952856,6.738583640950197e-05,0.3132808111217529,0.0,1.0
132396,0.008049060942889997,0.0004457888623710697,0.34457175165169673,0.0,1.0
42283,0.0003832886163280951,3.683371399237268e-05,0.28755505566975637,0.0,0.0
132403,0.10310463779225758,0.023485241652644918,0.4254657237229002,0.0011398345733372383,0.6052266548299395
66871,0.10348792640858567,0.05279653545985953,0.4144688378156238,0.0,1.0
116027,0.06477577615944807,0.0001779606177410067,0.32985816146200164,0.0,1.0
200009019,0.003832886163280951,3.6134125334500784e-05,0.29563511508527013,0.0,1.0
9533,0.006899195093905712,9.562468816161162e-05,0.3256084834260818,0.0,1.0
66878,0.07895745496358758,0.01248989730033884,0.4339623329872433,0.0007363952174065051,0.5416528534217381
200025407,0.02568033729398237,0.0037157999433827045,0.3790008443595191,0.0,1.0
132416,0.0015331544653123803,1.4803554114145942e-35,0.0015331544653123803,0.0,1.0
91458,0.06477577615944807,0.0001779606177410067,0.32985816146200164,0.0,1.0
42309,0.034879264085856655,0.007227519741303944,0.40206989108518926,0.0,1.0
132422,0.004216174779609046,0.00027796786449231715,0.34350275966105037,0.0001255485601909336,0.5454545454545454
58694,0.008815638175546188,0.0005094502504476504,0.36330784064775773,0.00015795262968203294,0.6086956521739131
1350,0.006132617861249521,7.313402175275464e-05,0.3083780079768766,8.134269261990336e-05,0.6
107849,0.06477577615944807,0.009894507623089643,0.4315460616454435,0.0031918259589244517,0.6864609749225133
42310,0.0030663089306247606,8.716326751949914e-05,0.3131964143515153,0.0001880781851981063,0.4642857142857143
50509,0.0026830203142966655,1.1185249244158383e-31,0.0026830203142966655,0.0,1.0
58702,0.0019164430816404755,3.0288166796461773e-05,0.3114345272094361,0.0,1.0
99662,0.003449597546952856,7.239122302612397e-05,0.31965496015200023,0.0,1.0
42320,0.0003832886163280951,3.5746921076809735e-06,0.2722681709772424,0.0,0.0
140629,0.08930624760444615,0.022769708244273778,0.4324288971816347,0.0008118542351015301,0.7577327216220217
75093,0.02414718282866999,0.0021231285642057214,0.3906535920943632,0.00036491073943181566,0.4321556579621096
1367,0.0,7.761325779397348e-49,0.0,0.0,0.0
116056,0.004216174779609046,2.663009611796124e-05,0.29844309846562056,0.0,1.0
107867,0.0015331544653123803,3.67950962574171e-05,0.29454904739620597,0.0,1.0
58716,0.10003832886163282,0.01229687341380698,0.4441585826448232,0.002745515681310844,0.3890362511052166
148828,0.08164047527788425,0.000628167063288294,0.3961782552642102,0.002543177887391619,0.6960315351226858
148827,0.01801456496742047,2.9313782036742088e-05,0.2846333921098849,0.0,1.0
1376,0.02568033729398237,0.0037157999433827045,0.3790008443595191,0.0,1.0
1377,0.0065159064775776165,8.097453477028708e-05,0.3011878471691256,6.545228625882672e-05,0.5882352941176471
148835,0.006132617861249521,0.0010444185534484417,0.35245872065266787,0.0,1.0
116068,0.020314296665389038,0.0014329156226629742,0.37298206290433905,6.08417875096168e-05,0.7808417997097242
157028,0.0011498658489842851,1.3309446652542335e-05,0.27141008289315394,0.0,1.0
91494,0.06822537370640093,0.00019317635801130662,0.34118417903824644,0.00016279019281466002,0.9074462007236717
91495,0.06477577615944807,0.0001779606177410067,0.32985816146200164,0.0,1.0
